Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ATR,RSI,MACD
2010-02-08 00:00:00-05:00,1065.699951171875,1073.4000244140625,1061.5999755859375,1065.699951171875,549,0.0,0.0,0.37475342360787595,0.2934715269362428,
2010-02-09 00:00:00-05:00,1076.699951171875,1082.0,1063.0999755859375,1076.699951171875,387,0.0,0.0,0.3727897519657663,0.3564046825897659,
2010-02-10 00:00:00-05:00,1075.800048828125,1081.0999755859375,1063.300048828125,1075.800048828125,640,0.0,0.0,0.3695225722077277,0.35270385372012525,
2010-02-11 00:00:00-05:00,1076.800048828125,1097.0999755859375,1075.5999755859375,1094.199951171875,1491,0.0,0.0,0.3713447459953611,0.4520615833107018,
2010-02-12 00:00:00-05:00,1089.5,1092.0,1079.800048828125,1089.5,197,0.0,0.0,0.36371858207189267,0.4299122528676153,
2010-02-16 00:00:00-05:00,1119.300048828125,1120.4000244140625,1092.4000244140625,1119.300048828125,928,0.0,0.0,0.3782919375255929,0.5638221128968053,
2010-02-17 00:00:00-05:00,1119.5,1127.0,1108.5,1119.5,1083,0.0,0.0,0.37555052204399747,0.5646135066076308,
2010-02-18 00:00:00-05:00,1118.0,1123.699951171875,1100.800048828125,1118.0,989,0.0,0.0,0.3787793626369688,0.5562922374897332,
2010-02-19 00:00:00-05:00,1121.300048828125,1126.199951171875,1099.699951171875,1121.300048828125,137,0.0,0.0,0.3865023471619587,0.5711019598488879,
2010-02-22 00:00:00-05:00,1112.5999755859375,1127.4000244140625,1110.0,1112.5999755859375,124,0.0,0.0,0.3817308636784382,0.5195677669983101,0.7609176838948574
2010-02-23 00:00:00-05:00,1116.4000244140625,1118.300048828125,1102.5999755859375,1102.699951171875,152,0.0,0.0,0.3750691811076015,0.4647755233538737,0.7325880701990949
2010-02-24 00:00:00-05:00,1096.5,1096.5,1096.5,1096.5,751,0.0,0.0,0.3564153536986982,0.4321213875173678,0.7018627568629408
2010-02-25 00:00:00-05:00,1107.800048828125,1108.199951171875,1088.699951171875,1107.800048828125,386,0.0,0.0,0.3565489533583413,0.4942356181379663,0.6953925344840655
2010-02-26 00:00:00-05:00,1106.800048828125,1118.300048828125,1106.800048828125,1118.300048828125,382,0.0,0.0,0.3461737940991835,0.5467314015377523,0.7032156814618689
2010-03-01 00:00:00-05:00,1119.300048828125,1121.9000244140625,1113.5999755859375,1117.800048828125,184,0.0,0.0,0.332340095291993,0.5436391282580337,0.7041588852496978
2010-03-02 00:00:00-05:00,1136.9000244140625,1137.4000244140625,1115.699951171875,1136.9000244140625,155,0.0,0.0,0.3370807368132365,0.6315221940078872,0.7277969590583107
2010-03-03 00:00:00-05:00,1142.699951171875,1145.0,1133.699951171875,1142.699951171875,170,0.0,0.0,0.3278337481301378,0.655141780554562,0.7457423549783743
2010-03-04 00:00:00-05:00,1132.5999755859375,1139.0,1128.5999755859375,1132.5999755859375,118,0.0,0.0,0.3229218881455842,0.5876552141843866,0.736849992515434
2010-03-05 00:00:00-05:00,1134.800048828125,1134.800048828125,1134.800048828125,1134.800048828125,129,0.0,0.0,0.3027434195391639,0.5978565132207035,0.7284486431438266
